idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Carol helped at the Mall on Tuesday. Carol met at the Mall on Thursday. Who was at the Mall?,Carol,Carol was at the Mall on both Tuesday and Thursday.,0,0,0.18181818181818182,10,1,1,1,662.5590380008362,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dave found at the Park on Monday. Carol met at the Mall on Tuesday. Bob helped at the Mall on Wednesday. What did Bob do?,helped,helped at the Mall,0,0,0.4,4,1,1,0,181.94229300024745,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alice met at the Mall on Monday. Alice saw at the Library on Monday. Carol saw at the Mall on Wednesday. Who was at the Mall?,Carol,Alice,0,0,0.0,1,1,0,0,77.13149200026237,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Cafe on Wednesday. Bob saw at the Library on Monday. Dave found at the Cafe on Thursday. Where was Dave?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,104.5732170005067,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol helped at the Cafe on Tuesday. Alice saw at the Park on Monday. Bob found at the Park on Monday. What did Bob do?,found,Bob found at the Park on Monday.,0,0,0.25,7,1,1,1,256.16145200001483,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Alice found at the Park on Tuesday. Alice found at the Park on Thursday. Alice saw at the Park on Wednesday. What did Alice do?,saw,Alice saw at the Park on Wednesday.,0,0,0.25,7,1,1,1,255.87331899987475,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave helped at the Library on Tuesday. Carol found at the Library on Thursday. Bob found at the Park on Monday. Who was at the Park?,Bob,Bob was at the Park.,0,0,0.33333333333333337,5,1,1,1,206.1543609997898,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave helped at the Park on Thursday. Carol saw at the Park on Thursday. Dave found at the Library on Wednesday. What did Dave do?,found,Helped at the Park on Thursday.,0,0,0.0,6,1,1,1,258.326978999321,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Park on Monday. Carol found at the Mall on Tuesday. Alice found at the Library on Thursday. Who was at the Library?,Alice,Alice.,0,1,0.0,1,1,0,1,104.34468499988725,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Dave saw at the Park on Wednesday. Carol met at the Library on Monday. Dave helped at the Cafe on Tuesday. What did Dave do?,helped,Helped at the Cafe on Tuesday.,0,0,0.0,6,1,1,1,256.68835599935846,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Dave found at the Cafe on Tuesday. Bob saw at the Library on Tuesday. Alice found at the Mall on Thursday. Where was Alice?,the Mall,Alice found at the Mall on Thursday.,0,0,0.4444444444444445,7,2,1,1,259.64955800009193,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dave helped at the Cafe on Tuesday. Alice met at the Park on Tuesday. Bob saw at the Cafe on Monday. What did Bob do?,saw,Bob saw at the Cafe on Monday.,0,0,0.25,7,1,1,1,260.7622870000341,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob met at the Mall on Tuesday. Dave helped at the Mall on Thursday. Bob met at the Cafe on Monday. What did Bob do?,met,Met at the Mall on Tuesday.,0,0,0.0,6,1,1,1,230.91286399903765,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alice met at the Library on Monday. Alice found at the Park on Wednesday. Bob met at the Mall on Wednesday. When was Bob at the Mall?,Wednesday,Wednesday.,0,1,0.0,1,1,0,1,101.91519599902676,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Carol met at the Cafe on Monday. Alice helped at the Mall on Thursday. Dave found at the Library on Monday. When was Dave at the Library?,Monday,Monday,1,1,1.0,1,1,0,0,76.36441700014984,,,,,304.44493691753246,1799.8125,pre_replay,True,0.47876360004011076,1.0,50,50,50,50,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
