idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Carol bought a apple at StoreB. StoreB is in Berlin. However, others report StoreB is in Rome. Despite conflicting reports, in which city did Carol buy the apple?",Berlin,Berlin,1,1,1.0,1,1,0,0,393.9401910010929,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Carol bought a ball at StoreB. StoreB is in London. However, others report StoreB is in Berlin. Despite conflicting reports, in which city did Carol buy the ball?",London,London,1,1,1.0,1,1,0,0,72.25936600116256,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Carol bought a book at StoreB. StoreB is in Berlin. However, others report StoreB is in Paris. Despite conflicting reports, in which city did Carol buy the book?",Berlin,Berlin,1,1,1.0,1,1,0,0,71.52861999929883,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Carol bought a coin at StoreB. StoreB is in Rome. However, others report StoreB is in Berlin. Despite conflicting reports, in which city did Carol buy the coin?",Rome,Rome,1,1,1.0,1,1,0,0,96.41582199947152,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Alice bought a ball at StoreC. StoreC is in Paris. However, others report StoreC is in Rome. Despite conflicting reports, in which city did Alice buy the ball?",Paris,Paris,1,1,1.0,1,1,0,0,74.34110199938004,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Bob bought a apple at StoreB. StoreB is in Berlin. However, others report StoreB is in Rome. Despite conflicting reports, in which city did Bob buy the apple?",Berlin,Berlin,1,1,1.0,1,1,0,0,75.82315400031803,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Carol bought a apple at StoreC. StoreC is in Paris. However, others report StoreC is in Berlin. Despite conflicting reports, in which city did Carol buy the apple?",Paris,Paris,1,1,1.0,1,1,0,0,72.67390900051396,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Alice bought a book at StoreB. StoreB is in Paris. However, others report StoreB is in Berlin. Despite conflicting reports, in which city did Alice buy the book?",Paris,Paris,1,1,1.0,1,1,0,0,72.17658500121615,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Alice bought a apple at StoreA. StoreA is in Paris. However, others report StoreA is in Rome. Despite conflicting reports, in which city did Alice buy the apple?",Paris,Paris,1,1,1.0,1,1,0,0,72.13959499858902,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Bob bought a coin at StoreC. StoreC is in Rome. However, others report StoreC is in Paris. Despite conflicting reports, in which city did Bob buy the coin?",Rome,Rome,1,1,1.0,1,1,0,0,95.82486699946458,,,,,130.21430732454004,1781.00390625,pre_replay,True,0.0,0.0,0,0,0,0,0.14916952004568884,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
