idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (0, 5) goal (4, 3). Respond with moves using U, D, L, R only, no spaces.",RURRUR,"R,R,L,U,U,D,D,R,R,U,U",0,0,0.0,1,1,0,0,344.3654759976198,False,11,6,1.8333333333333333,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (4, 3) goal (3, 5). Respond with moves using U, D, L, R only, no spaces.",LDD,"R,U,R,U,R,U,R,U,L,U,R,U,R,U",0,0,0.0,1,1,0,0,415.5711719977262,False,14,3,4.666666666666667,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (4, 0) goal (2, 4). Respond with moves using U, D, L, R only, no spaces.",DLDDLD,"R,U,R,U,R,U,R,U,L,U,L,U",0,0,0.0,1,1,0,0,372.24199599950225,False,12,6,2.0,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (2, 3) goal (4, 1). Respond with moves using U, D, L, R only, no spaces.",RRUU,"R,U,R,U,R,U,R,U,L,U,R,U",0,0,0.0,1,1,0,0,392.44187399890507,False,12,4,3.0,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (4, 1) goal (5, 2). Respond with moves using U, D, L, R only, no spaces.",RD,"R,R,U,U,L,L,D,D,R,R,U,U,L,L",0,0,0.0,1,1,0,0,427.3367119967588,False,14,2,7.0,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (4, 3) goal (3, 5). Respond with moves using U, D, L, R only, no spaces.",LDD,"R,R,U,U,L,L,D,D,R,R,U,U,L,L",0,0,0.0,1,1,0,0,423.3447549995617,False,14,3,4.666666666666667,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (2, 4) goal (5, 1). Respond with moves using U, D, L, R only, no spaces.",RURRUU,"R,U,R,U,R,U,L,U,L,U",0,0,0.0,1,1,0,0,335.6258749990957,False,10,6,1.6666666666666667,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (2, 3) goal (4, 1). Respond with moves using U, D, L, R only, no spaces.",RRUU,"R,U,R,U,R,U,R,L,U",0,0,0.0,1,1,0,0,297.2949230024824,False,9,4,2.25,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (1, 4) goal (3, 2). Respond with moves using U, D, L, R only, no spaces.",RRUU,"R,U,R,U,R,U,L,U,U,L,R,U,U,R,U,R",0,0,0.0,1,1,0,0,456.6561629981152,False,16,4,4.0,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 3), (0, 4), (1, 1), (1, 3), (2, 0), (2, 1), (2, 2), (2, 5), (3, 0), (4, 4), (4, 5), (5, 0)]. Start (4, 3) goal (3, 5). Respond with moves using U, D, L, R only, no spaces.",LDD,"R,R,U,U,L,L,D,D,R,R,U,U,L,L",0,0,0.0,1,1,0,0,474.8186959986924,False,14,3,4.666666666666667,279.8343182048056,1740.27734375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
